,Caption,Comments,Likes,Username,lat,lon,Short Name,Country,tagged_Users
26,"My Melbourne❣️ 
Artist: Unknown 😔
.
.
.
.
.
.
#streetartmelbourne #melbournestreetart #urbanstreetart #streetartphotography #streetartlovers #muralart #urbanwalls #ilovestreetart #ig_streetart #streetartandgraffiti #tv_streetart #urbanvibescommunity #graffiti #jj_urbanart #streetartglobe #streetartphotographer #streetartnews #mural #globalstreetart #streetarthunter #streetartshots #isupportstreetart #streetartaustralia #ihaveathingforwalls #graffiti_of_our_world #streetartaddicited #streetartcities #❤️ #🔥 #zebra",3,23,cathieformica,28.8052674,-97.0035982,Victoria,United States,no mention
28,Been painting in #Monaghan the past few days on this ice cream themed mural for @mackles_icecream check out the video now on my YouTube channel (link in story) #visualwaste,3,23,visualwaste,37.0897891,-95.7123683,IT,,no mention
29,Immersed.,3,23,stansberrystudios,34.0194543,-118.4911912,Santa Monica,United States,no mention
32,"“Abraço”
Pintura sobre papel de algodão Hahnemühle 300g
Tamanho: 29,5x42cm (sem moldura)
2021
Disponível
•
•
•
•
•
#brasil #arte #artsy #artistic #instaart #creative #artoftheday #instaartistist #collage #collageart #cutandpaste #femaleartist #streetart #americalatina #sp #sparte #koralle #belasartes #artesvisuais #br #pebeo #acrilic #feministrampos #frutodearte #casadoartista",3,51,maricastelllo,33.966959,-118.097614,7922,United States,no mention
34,"176/365 🍀 “The Sparrow’s Song” available in my shop. Happy April!
.
.
I spent my day refining this little song sparrow, and I just love how he turned out. I’ve been wanting to work on painting more background elements and I am really happy I pushed myself to spend the extra time. 🌸 Hope you enjoy!
.
.
.

#muralart #artwip #pencilsketch #animalsketch #cutedrawing #birdart #birddrawing #songsparrow #animalartistry #botanicalart #drawing #natureart #artforsale#sketchbookdrawing #sketchbookart #cuteillustration #animalsketch #wildlifeart #animaldrawing #365daysofart #animalart #dailyart #dailypaint #dailydrawing #wildlifeillustration #instaart #instaillustration #whimsicalart #whimsical #acrylicpainting #animalartistry #flowerart",3,116,kaitlinhoyt,46.5653163,-66.46191639999999,NB,Canada,no mention
35,"Me encanta crear magia, hacer algo que sea tan extraño, tan inesperado, que la gente se maraville.
•
Mural by @martin_ferreyra 
SPOT: @parquelaruinahmo 
.
.
.
.
#murales #muralesmexicanos #artemexicano #streetart #fotografia #mexicomagicogaleria #arteurbano #urbano #arteurbanomexico #magia #pizza #perronegro #painting #tribu #foodlover #hermosillo #hermosilloarte #sonorarte #hoscos #scruff",3,32,joe_mlo,29.0973857,-110.9476345,Parque La Ruina,Mexico,no mention
36,"🌸🌸🌸
.
.
.

#westloop #annapmurphy #painter #chicagoartist #chicagopainter #artistofinstagram #artistsoninstagram #annamurphy 
#muralart #muralartist #gold #goldpaint #streetartnews #chicagomurals #design #contemporarypainting #art #painting #painter #paintersofinstagram #floraldesign #floralpainting #floralmural #artistlife #earth #annamurphy #artoftheday #art #artlovers #westloopisthebestloop",3,40,annapmurphy,40.6331249,-89.3985283,IL,United States,no mention
37,"Novità!
#captainsticker #ilprimoattacchinatore
🐝🐝Defense🐝🐝
#nohatefamily
Progetto Street Art Hunters Vicenza by Mark Serigrafia!
📷📸 #streetart #streetartvicenza #vicenzastreetart #vicenza #markserigrafia #ilovestreetart #streetartaddicted #mural #graffiti #stencil #pasteup #stickers #arteurbano #urbanart #streetarteverywhere #ilovegraffiti #stickerbombing #stickerbomb #italianstreetart #streetartlover #streetartist #streetartphoto #urbanstreetart #streetartphotography #muralart #stickerart @mark.serigrafia",2,4,mark.serigrafia,31.3260282,-109.5204366,Deportiva,Mexico,no mention
39,"Hella hello!
👋🖕👋🖕👋
....
#hellomynameisstickers #stickers #art #streetartist #pasteups #streetart #horror #stickerporn #lowbrow #stickerart #streetarttoulouse #urbanart #adhesiveart #lwaka #raysel666 #toulousefuckthebuff #toulousenecropole #toulouse #toulousemaville #flop",2,16,raysel666,46.227638,2.213749,FR,France,no mention
41,"Artist unknown

#Düsseldorf #abandoned #streetart #urbanart #cityart #sprayart #graffiti #StreetArtCities #paint #art #paintart #kunst #strassenkunst #artworld #fantasy #sprayart #streetartist #streetartGermany #streetartWorld #mural #streetartworldwide #ilovestreetart #everybodystreetart #streetartistry",2,5,wjk.picture,51.165691,10.451526,DE,Germany,no mention
43,"‘Today with Me’, mural inspired by, and symbolic of Christ’s crucifixion. 
🌲
The Kauri trees represent the crosses that Jesus and the two criminals were crucified upon. Kauri chosen for their tall, straight structure and to relate this event in a way unique to the native flora of Aotearoa.
🐑
The title comes from the conversation between the ‘believing’ criminal and Jesus response to him that ‘today you will be with me in paradise’. 
🌳
There are other symbols interwoven in this allegorical artwork, and I hope meaning that will become apparent to many viewers over time. 
❤️
I feel very privileged to have been given the opportunity to paint on this wall, grateful to the three wonderful women that worked alongside to complete the painting... and also a sense of achievement that I didn’t freak out being up such a tall ladder!!
🌺
I hope you all have a safe, reflective and restful Easter. Xx
.
.
.
#nzart #nzartist #ecclesiasticalart #churchart #easterart #easternz #muralart #muralnz #nzmuralart #allagoricalart #churchmural #kauriart #kauri #easterstory",2,3,narellehugginsartist,43.175962,-79.2244997,60,Canada,no mention
44,"Practic with our new normal life here. Together we do, we win together. 

*
*
*
*
*

Shot Using Canon EOS 3000D

#malaysiatrulyasia #cuticutimalaysia #visitmalaysia #malaysia #kualalumpur #city #citycenter #ilovemalaysia #cantiknyamalaysia #bestpic #bestdestinations #likeforlikes #followforfollowback #explore #exploreeverything #exploringmalaysia #instagood #instadaily #instalike #instagram #igdaily #photooftheday #photographer #photo #photogram #photography #photoshoot #muralart #arts #wanderlust",2,40,mingleeng,3.139003,101.686855,Kuala Lumpur,Malaysia,no mention
46,"These go HARD🧨
Find both available for purchase today on my Etsy site - link in bio✨💣🥀
•
•
Looking for some new artwork for your place? A gift for someone? A collab? Let’s make it happen🙏🏼
•
•
#painting #acrylic #series #art #paintersofinstagram #brooklynartist #supportlocalartists #design #illustration #fashion #popart #streetart #art #femaleartistsofinstagram #slayybelledraws2.0 #slayybelledraws #womenempowerment  #muralart #femmefatale",2,11,slayybelledraws_2.0,40.7127753,-74.0059728,New York,United States,no mention
47,"Quando em 2018, entrei na Universidade, por sorte, acabei conhecendo grandes amigos que tenho comigo até hoje.
@valentinamussi_ foi uma delas. Certamente, o que eu não esperava era logo conhecer os amigos dos meus amigos e de certa forma, me tornar algo próximo a eles.
Esse foi o caso de @biasantarosa_ . Cinheci a Bia através de Valentina, que consequentemente me fez conhecer o trabalho de Bia e me trazer a pergunta que move esse novo projeto que eu carinhosamente chamei de como se fosse:
Como tudo começou pra Bia? Qual foi o motivo dela ter começado a criar?
Bom, eu não vejo a hora de responder essa pergunta e poder compartilhar com vocês.
.
Bia Santarosa é uma das convidadas pro projeto ""como se fosse"" onde nós dois faremos uma peça juntos em um vídeo onde ela conta um pouco do começo, como se ainda fossemos crianças.
.
keep creating
.
Curte, comenta, compartilha e salva pra gente continuar criando juntos ❤
.
.
.
.
.
.
.
#illustration #art #drawing #artist #digitalart #artwork #sketch #illustrator #design #draw #artistsoninstagram #painting #instaart #sketchbook #graphicdesign #mural #streetart #graffiti #urbanart #muralart #wallart #graffitiart #painting #artwork #streetarteverywhere #artist #streetphotography #sprayart #keepcreating #erictopus",2,12,eri.ctopus,-23.5505199,-46.63330939999999,São Paulo,Brazil,no mention
48,"It didn't take long after I started my street art project that I began getting push back from people. A few upset messages that I was going against the stay at home orders (true) and by putting art out, I was encouraging people to do the same (debatable) and thus putting people in danger (I could not disagree more.) Just irritated that I had the nerve to be creating art during a pandemic. Arguably, I felt art is what we could all use more of. It was the first time that I had gotten negative feedback like that for my art, and it immediately signaled to me that I was doing something important, and that I should ABSOLUTELY keep doing it. Thankfully the positive messages far outweighed the negative, but unfortunately those negative ones are the ones that you spend more energy on. 

On one particular day I got a slew of awful messages from a young man who was losing his mind that I was doing street art. He was irate I had used the hashtag #graffiti and berated me, my art, and my character over the course of several hours. It was amusing to say the least. I even offered to meet him for coffee- my treat. Surprise, surprise... he declined the offer. But in that fiery exchange of hate messages, he said I was a disgrace to the graffiti and street art community and my stuff was yuppie eyesore garbage. I didn't waste a second before heading into my studio to paint this one as a tribute to one of my first haters, and I've used the hashtag #yuppieeyesoregarbage ever since. 

Don't let the jerkwads get you down. If anything, let them inspire you. They're just as important to the journey as the people who cheer you on. And for that, I have immense gratitude. 🙏❤
.
.
#velvetbandit #streetartist #streetart #streetartistry #streetartandgraffiti #graffitiart #streetarthunter #streetartworldwide #streetartofficial #streetartporn #streetartdaily #wheatpaste #wheatpasteartist #northbaystreetart #bayareastreetart #sonomacounty #norcal #santarosa #sonomacountyartist #momgraffitigang #artconnectsus #hatersgonnahate #creatorsgonnacreate #loveforthehaters #gratitude #dobetter #gratitude #trashcanart #flowersinthedustbin",2,14,thevelvetbandit,38.440429,-122.7140548,Santa Rosa,United States,no mention
51,"We gilded this conference room name for @thinkmaxwell this week in honor of an employee who is retiring. We designed the lettering to match the mid century building their office is in. 23k gold letters with a black drop shade. We really enjoyed designing and gilding this one! More to come. 

[ ID : 1. A video panning across a gold leafed window to a conference room. The lettering is a mid century style sans serif letter that reads the Hastings room. The words are stacked and aligned to the right. the and room are lower case Hastings has a tall capital H followed by lower case letters. Hastings is mirror finished gold leaf with a black painted drop shadow. The and room are black paint. 2. A photo of the window lettering. ]",2,17,jandssigns,43.8041334,-120.5542012,OR,United States,no mention
52,"Photo_63 

#warsaw #warszawa #nowawarszawa #poland #bolywood #neon #lights #rain #sonyalpha #sony #natgeo #night #nightphotography #streetphotography #restaurant #likesforlike #followｍe #city #cityphotography #citylife #mood #streetstyle #streetart #boy #polishboy #samyang #kinley #photoshoot #photooftheday #photographer",2,10,jacusp,51.919438,19.145136,PL,Poland,no mention
53,"Doing lots of splodges today. I’ve decided to call them freckles bc I’ve got freckles and I wonder sometimes if that’s why I make my illustrations spotty too. 

Swipe to see a video and a pic of a quick lie down in the sun 😂 feeling a little tired today 🤣 nearly done!

.
#ejits #muralpainting #muralart #muralist #femalestreetartist #streetstyleart #colourfulart #wip #wipart #wipmural #technique #tired",2,9,ejits,40.6821936,-74.6412555,415,United States,no mention
54,Mural for Leela @tinaverstraeten #mural #muralart #muralpainting #muurschildering #muurdecoratie #wallpainting #wandgemälde #peinturemurale #peinturefleurs #paintedflowers #flowermural #flowerspainted #sunflower #rosies #antwerpenkunst #antwerpart #acrylflower #acrylicmural #acrylmural #belgianartist #belgianart #belgianartwork #muralpainter,2,2,woutertacq,50.503887,4.469936,BE,Belgium,no mention
57,"Artist: @
.
📍Lagunillas
.
#streetarteverywhere 
#streetartworldwide 
#streetartcities 
#streetartmalaga 
#instastreetart 
#globalstreetart 
#streetartgallery 
#streetartchat 
#artecallejero 
#total_urbanart 
#lovestreetart 
#streetartglobe 
#colorfulstreets
#artistsoninstagram 
#streetwall 
#streetartspain 
#graffitiart 
#streetartoftheday 
#muralstreetart 
#streetart 
#streetartphotography 
#streetartporn 
#urbanart 
#urbanstreetart 
#streetartaddicted 
#muralpainting 
#muralart 
#spraypaint 
#urbanartwork
#urbanvibescommunity",2,22,juliencanadas,40.46366700000001,-3.74922,ES,Spain,no mention
58,"“No fears alone at night she's sailing through the crowd”

#beauty #glamour #rollergirl #gorgeous #architecture #skates #skateaway #njmodel #ctphotographer #mermaid #mural #art #brooklyn #nyc #sunrise #goldenhour #morning #photoshoot #editorialphotography #colors #fun #portrait #woman #model #canon #canon5dmarkiv #regalportraits
@regalportraits
@only_beauty_queens
@beautiful_women_featured
@beautyspotlight_
@gorgeousladies_worldwide
@nkmagazine
@NKmag
@dreamymag
@viralports
@modelwarehouse_mag
@portraitsplatform
@portraits_today
@portrait_planet
@model_vizzion
@portrait.unit
@dopeports
@portrait.squad
@wickedports
@portsvision
@usa.model.connections
@under10kportraits
@marvelousportraits
@newengland_portraits
@best.topmodels2021
@beautifulpeople_ofearth
@newenglandgoddess
@breathtakingbeauties_
@insta_models_are_bae
@showcase_of_beauty",2,3,stevesmithphotography,40.5733576,-73.9782364,Riegelmann Boardwalk,United States,no mention
59,"Painted wall made with the inmates of the Poitiers Vivonne penitentiary center. A very good experience of exchanges. It was the inmates who chose what they wanted to see in the promenade courtyard.
What they miss the most.
See the horizon ...🙏 #kegrea #art #artist #paint #painter #graffiti l #painted #outdoor #landscape #contemporaryart #angouleme  #poitiers #photography 
#paint #oil #acrylicpainting #painting  #mural #prison",2,8,kegrea,46.4133501,0.2415005,Champ des Grolles - RD742,France,no mention
61,"New interior mural piece for some rad patrons. ⚫️🍊🌙 “No Matter How Far You Go, There You Are” .. latex and Sakura on wall. Roughly 10’ x 10’. 2021.",2,50,thenightowl,37.4315734,-78.6568942,VA,United States,no mention
62,"TAKE Some time 2 smell the flowers & enjoy ! Everyday is a gift & a blessing 💞
#getoutside #love #photooftheday #pets #photo #frenchie #frenchies #instadaily #instapet #instadog #dog #frenchienation #frenchielane #frenchielovers #brooklyn #nyc #style #art #artsy #graffiti #mural #vision #goodvibes",2,2,frenchie.cocoa_negra,40.6781784,-73.9441579,Brooklyn,United States,no mention
63,"Custom exclusiva ♡

Ju, cliente que virou amiga. Isso faz parte de resultados quando o trabalho estreita laços. 
Ela chegou, encomendou e ficou!
Ju é arquiteta, bailarina e mãe de gato. Três elementos que deixou bem sintetizados, quando trocamos sobre a história que eu contaria na peça. 
Essa foto maravilhosa e conceitual, mostra um pouco do que fiz na jaqueta. 

Agradecimentos a @thaynarabra da #riachueloouvidor 
@riachuelo 
com seu atendimento online perfeito e certeiro. Minhas encomendas de jeans zerado vem perfeitas e a jato🙏❤

Ju @julianacristina.arch esse registro tá nível @p_pinterest_t Vc é incrível ❤

#customized 
#arte
#moda
#modacomproposito 
#urbanart 
#nathbaliano 
#handmadewithlove",2,9,nathbaliano,-27.2423392,-50.2188556,SC,Brazil,no mention
64,"Efeito, filtro e Photoshop 

Arrasta =>>>>>>>

#urbanphotography #instagood #instagram #brasil #style #streetphotography #photo #urbanstyle #estilo #architecture #fashion #arquitectura #urbanart #estilourbano #moda #modaurbana #urbano #style #streetstyle  #lookdodia #bhfyp #bomdia #picoftheday",2,38,divamaranhao,-7.239960900000001,-36.7819505,PB,Brazil,no mention
65,#blackandwhitephotography #blackandwhitephoto #blackandwhite #streetart #bnw #bnw_captures #bnw_life #bnw_society #bnw_planet #bnw_rose #bnw_magazine #bnw_zone #bnwmood #bnw_demand #bw_lover #bnw_poland #bw_photooftheday #bw_society #bwphotography #bw #bw_perfect  #bw_perfect  #streetphoto #street_vision #streetphoto  #shadows #warszawawa #warsaw #mostpołudniowy #gosiabiniektraveling,2,19,gosiabiniek,52.1878086,21.1493186,Południowa,Poland,no mention
69,"Soy la mujer más feliz al poder estar en un set, en una locación, grabando y haciendo lo que más amo en esta vida...actuar❤️
.
.
.
.
.
.
#mujer #woman #womanpower #feliz #happy #happymoments #grabando #locacion #set #actriz #actrizmexicana #mexicana #latina #gutzce #urbanphotography #urbanstyle #urbanart #personaje",2,26,gutzce,31.7943112,-106.5127901,4150,United States,no mention
73,"Pop in tomorrow night for FIRST FRIDAY 5-8pm!
.
It's the perfect excursion while on the waitlist for @kreuser_gallery 🤣🤷🏼‍♀️💙
.
.
.
.
.
.
#firstfriday #coloradospringsartist #coloradospringsart #contemporaryart #oilpainting #painting #landscapes #oillandscapes #figurativepainting #urbanart #markerart #collageart #textileart #embroidery #abstractacrylic #pikespeak #719 #coloradosprings #cosart #coloradoart #coloradoartist #artgallery #artcuration #downtowncs #peakradar",2,10,cb.curates,38.8393316,-104.8236422,330,United States,no mention
80,"Hop un petit paysages urbain de la basse ville de Québec!
.
.
.
#urbanlandscape #urbanphotography #architecture #streetphotography #landscape #urban #photography #cityscape #ig #bnw #street #city #architecturephotography #art #landscapephotography #photooftheday #cityphotography #urbanexplorer #photo #blackandwhite #urbanart #newtopographics #streetart #streetview #sunset #minimal #urbanexploration #picoftheday #quebec #bhfyp",2,18,louis_gab,46.8163363,-71.223587,Saint-Roch,Canada,no mention
82,"Foreignary 🌎 
New clothes 🔜
•
•
#graphicdesign #foreignvisionary #fashionstyle #fashionista #streetwear #streetart",2,12,foreignary,39.5500507,-105.7820674,CO,United States,no mention
83,"De Colombia en CDMX, @erre.erre 

#🧨 #🔥 #🇨🇴 #🇲🇽#arteenlacalle #streetart #arteurbano #urbanart #streetartchilango #streetartmexico #graffiti #graffitiart #aerosol #spraypaint",2,15,gra_ffi_ti_,19.4326077,-99.133208,México D.F.,Mexico,no mention
84,"Mais um mural nesse feed 🙆🏼‍♀️ O de hoje retrata a cidade de São Paulo antiga e faz parte do projeto Muros da Memória 😍

Passa pro lado para vê-lo inteiro ➡️
.
.
🎨 Painel: SP Antiga - Muros da Memória
.
👨🏻‍🎨 @kobrastreetart
.
📍 Avenida Morumbi, 6400 - São Paulo- SP 🇧🇷
.
.
#kobra #kobragraffiti #kobrastreetart #grafite #graffiti #graffitilovers #painel #mural #sp #011 #saopaulo #sampalovers #sampa #art #streetart #color #colorful #pic #photo #photography #wanderlust #awesome #amazing #happiness #onmyway #wall",2,11,aline_marie,-23.5505199,-46.63330939999999,São Paulo,Brazil,no mention
85,UTER - Infinitum,1,2,wiredforsound,43.8041334,-120.5542012,OR,United States,no mention
86,"Reclaim the buildings.
In Zurich, Switzerland.

#streetart #graffiti #art #urbanart #graffitiart #streetphotography #street #mural #streetarteverywhere #photography #wallart #artist #artwork #streetartist #streetartphotography #graff #streetstyle #painting #contemporaryart #urban #spraypaint #photooftheday #sprayart #muralart #arte #love #instagraffiti #graffitiporn #arteurbano #bhfyp",1,5,zurich_graphics,46.818188,8.227511999999999,CH,Switzerland,no mention
87,"@bumwin 💙
.
.
.
.
.
#graffiti #streetart #art #graffitiart #urbanart #graff #graffitiporn #spraypaint #mural #instagraffiti #streetphotography #wallart #artist #photography #artwork #street #sprayart #painting #streetarteverywhere #hiphop #bombing #instagraff #urban #graffitiartist #fr #graffitiphotography #graffitistyle #drawing #paint #bhfyp",1,10,streetart_runner,55.378051,-3.435973,GB,United Kingdom,@bumwin
88,"Archives...
.
.
#📸 #archive #archives #shooting #men #ladies #fashion #mensfashion #ladiesfashion #stylist  #model #apparel #suit #東京 rdinate #street #streetstyle #streetart #styling #photo #photography #makeup #instagram #instagood #tokyo #japan #撮影 #ファッション #スタイリスト #コーディネート #東京",1,0,gensaku_miki,36.204824,138.252924,JP,Japan,no mention
89,"Vita e Morte – Herbert Baglione  

Via delle Conce, 13 - Roma, Italia
Latitude: 41.874080 | Longitude: 12.478001 

Lo so, lo so… lo scorso venerdì ho saltato un appuntamento della rubrica #streetartdenoantri.

 Sono settimane molto intense con tanti nuovi progetti personali e lavorativi che piano piano stanno prendendo forma e questo ahimè mi porta ad avere meno tempo libero.  

Ma per farmi perdonare torno oggi con un’opera davvero incredibile! Siamo ancora una volta al quartiere Ostiense, all’ombra della Piramide Cestia e il nome dell’opera è “Vita e Morte” dello street artist brasiliano Herbert Baglione. 

Siamo sul muro esterno della storica falegnameria Blasi e con questo murales l’artista  rappresenta figure umane distorte che evocano l’immagine di un mondo alienato da sé, distratto e confuso.  

Il significato dell’opera è una critica alla società contemporanea. I personaggi, infatti, si trovano in un mare scuro e denso in cui galleggiano da soli e lontani gli uni dagli altri. L'artista usa questa metafora per dirci che nella società in cui viviamo siamo tutti quanti individui isolati e distratti, spesso sovrastati da una nube di pensieri grigi.   

Se pubblichi foto di murales presenti a Roma usa l’hashtag #streetartdenoantri e sarò felice di ricondividerti nelle mie storie!   

#streetartdenoantri #streetart #streetartroma #streetartist #streetphotography #streetartrome #ostiense #ostiensestreetart #ostiensestreetartdistrict #streetartlovers #rome #roma #rom #igersroma #ig_roma#yallersroma #yallerslazio #volgoroma #volgolazio #condividiamoitalia #murales #graffiti #instastreetart #instamural  #instagraffiti #muralart #reisenmachtglücklich",1,13,gralct,41.9682053,-87.72002789999999,3645,United States,no mention
90,"Eccesso di realtà, diceva Testori. 
.
.
🌍#milan
.
.
#streetart #urbanart #artmural #undergroundeffect #streetarteverywhere #streetartphoto #streetartchat #streetartphotography #tv_streetart #total_urbanart #streetartcities  #rsa_graffiti #grafiti_of_our_world #be_one_urbanart #graffitis_are_m #ylife #graffiti_n #streetart_daily #streetart_addiction #artistsoninstagram #milano #milanostreetstyle #milanograffiti #metrogrammed #volgomilano #milanotoday #milanotoday #igersmilano  #igersmilan",1,4,ila_mou_,45.5329378,9.1317161,Piazza Giovanni Testori,Italy,no mention
91,"Wola. Coraz piękniejsza. 
#mojemiasto #warszawa #warszawawola #jestemzwoli #mural #muralart #art #sztuka #kultura",1,2,czarnakajzerka,34.0715259,-118.3630475,7944,United States,no mention
94,"Recent work done for a @athelonicsgym with @satwinder_saroya
#graffitiart #mural #muralart #beast #beastmode #3dartwork #handpainted #athelonics #athelonicspanchkula",1,4,crimsonartsindia,20.593684,78.96288,IN,India,no mention
95,".
This couple has staying power 

By @mr_aryz and @davidchoe 2013

#mural #muralart #urbanart #streetart #graffitiart #publicart #lastreetart #lagraffiti #lamurals #muralwall #davidchoe artwall #dtla",1,5,thepursuitofhappenstance,33.800308,-117.8827321,2000,United States,no mention
97,"Location: 7547 Melrose Ave., Los Angeles, CA

Art by @alecmonopoly 
Photo taken date: November 6, 2019

#bt17 #streetartstudiola #venice #streetart #streetarteverywhere #mural #urbanart #graffiti #daily #graffitiart #dailyart #dailygraffiti #instagram #iphone #instamood #instagramers #instagood #insta #instadaily #instaart #california #downtownla #dtla #dtlastreetart #tesla #cat #streetphotography #got #melrose #alecmonopoly",1,15,streetartstudiola,35.4784959,-97.51884679999999,Oklahoma City,United States,no mention
98,"Ibu (ibu)
#art #muralart #mural #streetphotography #peoplephotography #peopleinframe #nepalvanjava #street_unseen #streetstyle #streetart",1,20,funsbdg,-7.420698199999999,110.0772065,Butuh,Indonesia,no mention
100,".it's just a try
.
.
.
.
.
.
.
.
.
.#mural #streetart #art #graffiti #urbanart #muralart #wallart #graffitiart #painting #streetarteverywhere #artwork #artist #murals #streetphotography #sprayart #spraypaint #streetartphotography #urban #photography #instagraffiti #arte #street #wall #arteurbano #streetartist #muralpainting #graff #wallpainting #murales #bhfyp",1,64,tribeca_trendy_shop,10.8505159,76.2710833,KL,India,no mention
101,"@dater127
@nasher70
@nilkowhite
@ultrareser 
@meetingofstylesdordrecht
#meetingofstyles
#streetphotography artfotography 
#dordrecht 
#dordrechtstreetart
#spraypaint #streetart #streetart
#Rotterdam #urbanart #streetartwork #graffiti #streetartdordrecht #instagraffiti  #streetartlovers #streetart_daily  #mural #muralart #muralartist #Netherlands #wallpaints #wallpainting",1,20,rroedmanstreetart,52.132633,5.291265999999999,NL,Netherlands,@meetingofstylesdordrecht
